DATAFLOW,LAST UPDATE,freq,unit,sex,age,icd10,resid,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,CH,2017,3407,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,CH,2018,3384,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,CH,2019,3478,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,CH,2020,3431,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,CH,2021,,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,CY,2011,42,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,CY,2012,49,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,CY,2013,43,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,CY,2014,69,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,CY,2015,96,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,CY,2016,104,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,CY,2017,115,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,CY,2018,155,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,CY,2019,171,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,CY,2020,143,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,CY,2021,,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,CZ,2011,468,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,CZ,2012,498,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,CZ,2013,663,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,CZ,2014,650,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,CZ,2015,830,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,CZ,2016,773,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,CZ,2017,989,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,CZ,2018,942,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,CZ,2019,1023,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,CZ,2020,1128,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,CZ,2021,1139,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,DE,2011,14290,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,DE,2012,16824,
